sg_uf,cd_municipio,nm_municipio,jair_bolsonaro_1turno,jair_bolsonaro_2turno,lula_1turno,lula_2turno,queda_lula_percentual,aumento_bolsonaro_percentual,diferenca_lula_votos,diferenca_bolsonaro_votos,sigla_partido_prefeito_2020
AC,1007,BUJARI,4505,4693,2130,1958,-8.07511737089202,4.17314095449501,-172,188,PDT
AC,1015,CAPIXABA,3944,3963,1630,1497,-8.15950920245399,0.481744421906694,-133,19,DEM
AC,1023,PORTO ACRE,7062,7384,2490,2317,-6.94779116465863,4.55961483998868,-173,322,PP
AC,1031,SANTA ROSA DO PURUS,1028,1127,1357,1217,-10.3168754605748,9.63035019455254,-140,99,MDB
AC,1058,BRASILÉIA,9143,9593,4171,3958,-5.10668904339488,4.92179809690474,-213,450,PT
AC,1074,CRUZEIRO DO SUL,30977,31936,10770,9733,-9.62859795728876,3.09584530458082,-1037,959,PP
AC,1112,EPITACIOLÂNDIA,6494,6729,2592,2464,-4.93827160493827,3.61872497690177,-128,235,PSDB
AC,1120,ACRELÂNDIA,5238,5317,1516,1460,-3.69393139841688,1.50820924016801,-56,79,MDB
AC,1139,FEIJÓ,6191,6383,7930,7113,-10.3026481715006,3.10127604587305,-817,192,PP
AC,1490,XAPURI,5142,5217,3774,3634,-3.70959194488606,1.4585764294049,-140,75,PT
AC,1538,SENADOR GUIOMARD,9134,9512,3523,3338,-5.25120635821743,4.13838405955769,-185,378,PP
AC,1570,ASSIS BRASIL,2694,2717,2003,1895,-5.3919121318023,0.853749072011878,-108,23,PT
AL,27006,PARIPUEIRA,3924,4187,3984,3742,-6.07429718875502,6.70234454638123,-242,263,DEM
AL,27030,ANADIA,1797,2019,6234,6166,-1.09079242861726,12.3539232053422,-68,222,PP
AL,27065,JEQUIÁ DA PRAIA,2669,2854,3064,2832,-7.57180156657964,6.93143499437992,-232,185,PP
AL,27073,ATALAIA,7105,7544,13894,13340,-3.98733266158053,6.17874736101338,-554,439,PSC
AL,27090,BARRA DE SANTO ANTÔNIO,3400,3586,5358,5155,-3.78872713699141,5.47058823529412,-203,186,PTB
AL,27111,BARRA DE SÃO MIGUEL,2769,2871,2739,2699,-1.46038700255567,3.68364030335862,-40,102,PP
AL,27154,BELÉM,790,886,2442,2406,-1.47420147420148,12.1518987341772,-36,96,MDB
AL,27170,BELO MONTE,1006,1057,3192,3113,-2.4749373433584,5.06958250497018,-79,51,PTB
AL,27197,BOCA DA MATA,4872,5359,7789,7724,-0.834510206701755,9.99589490968802,-65,487,MDB
AL,27219,BRANQUINHA,1471,1571,4230,4041,-4.46808510638298,6.79809653297077,-189,100,MDB
AL,27235,CACIMBINHAS,1310,1440,4189,4147,-1.00262592504178,9.92366412213741,-42,130,MDB
AL,27251,CAJUEIRO,2840,2991,6482,6416,-1.01820425794508,5.31690140845071,-66,151,PODE
AL,27278,CAMPO ALEGRE,5279,6012,11834,11486,-2.94067939834376,13.8852055313506,-348,733,PP
AL,27294,CAMPO GRANDE,1136,1197,5082,5048,-0.669027941755218,5.36971830985915,-34,61,
AL,27316,CANAPI,1239,1365,7512,7473,-0.519169329073488,10.1694915254237,-39,126,PP
AL,27332,CAPELA,3392,3523,5477,5228,-4.54628446229688,3.8620283018868,-249,131,MDB
AL,27359,CARNEIROS,726,810,3945,3888,-1.44486692015209,11.5702479338843,-57,84,MDB
AL,27375,CHÃ PRETA,909,963,3193,3126,-2.09834011901033,5.94059405940595,-67,54,MDB
AL,27391,COITÉ DO NÓIA,1109,1378,5049,5033,-0.316894434541493,24.2560865644725,-16,269,PP
AL,27413,COLÔNIA LEOPOLDINA,4190,4366,5517,5286,-4.18705818379554,4.20047732696898,-231,176,MDB
AL,27430,COQUEIRO SECO,1300,1446,2367,2270,-4.09801436417406,11.2307692307692,-97,146,MDB
AL,27456,CORURIPE,13580,14497,13124,12675,-3.42121304480342,6.75257731958763,-449,917,PP
AL,27499,DOIS RIACHOS,1399,1460,4778,4705,-1.52783591460862,4.3602573266619,-73,61,MDB
AL,27553,FLEXEIRAS,2685,2841,3001,2795,-6.8643785404865,5.81005586592178,-206,156,PP
AL,27650,INHAPI,1213,1387,7310,7228,-1.12175102599179,14.3446001648805,-82,174,PP
AL,27677,JACARÉ DOS HOMENS,610,651,2829,2788,-1.44927536231884,6.72131147540984,-41,41,MDB
AL,27715,JAPARATINGA,2754,2766,2426,2300,-5.19373454245672,0.435729847494559,-126,12,PTB
AL,27731,JARAMATAIA,702,760,2843,2802,-1.44213858600071,8.26210826210827,-41,58,MDB
AL,27758,JOAQUIM GOMES,2685,2751,7065,6755,-4.38782731776363,2.45810055865923,-310,66,PTB
AL,27790,JUNQUEIRO,4195,4665,9073,9065,-0.0881737021933171,11.2038140643623,-8,470,PTB
AL,27812,LAGOA DA CANOA,2722,3278,8047,8000,-0.584068596992671,20.4261572373255,-47,556,PP
AL,27839,LIMOEIRO DE ANADIA,2946,3331,10502,10488,-0.133307941344507,13.0685675492193,-14,385,PP
AL,27871,MAJOR ISIDORO,3012,3361,7253,7106,-2.0267475527368,11.5869853917663,-147,349,PP
AL,27898,MARAGOGI,8865,9451,6966,6924,-0.602928509905254,6.61026508742244,-42,586,PP
AL,27936,MARECHAL DEODORO,15343,16560,13719,13267,-3.29470077994023,7.93195594081992,-452,1217,MDB
AL,27952,MARIBONDO,2356,2425,4974,4770,-4.10132689987938,2.92869269949065,-204,69,PSD
AL,27979,MAR VERMELHO,659,752,1942,1871,-3.65602471678682,14.1122913505311,-71,93,MDB
AL,27995,MATA GRANDE,1814,1976,9432,9251,-1.91899915182358,8.93054024255788,-181,162,PTB
AL,28037,MESSIAS,3675,3936,5776,5542,-4.05124653739613,7.10204081632653,-234,261,PTB
AL,28096,MURICI,4630,4827,8770,8202,-6.47662485746864,4.25485961123111,-568,197,MDB
AL,28231,PALESTINA,600,658,2442,2354,-3.6036036036036,9.66666666666667,-88,58,REPUBLICANOS
AL,28258,PALMEIRA DOS ÍNDIOS,12279,13468,24549,23869,-2.76997026355452,9.68319895756984,-680,1189,PSB
AL,28274,PÃO DE AÇÚCAR,2810,2966,9991,9656,-3.35301771594435,5.55160142348754,-335,156,PSDB
AL,28290,PASSO DE CAMARAGIBE,3278,3388,5249,5016,-4.43894075061917,3.35570469798658,-233,110,PTB
AL,28312,PAULO JACINTO,1147,1247,3234,3059,-5.41125541125541,8.71839581517,-175,100,DEM
AL,28339,PENEDO,9757,10513,18665,18554,-0.594695954995983,7.74828328379624,-111,756,MDB
AL,28355,PIAÇABUÇU,2830,3013,6621,6131,-7.40069475909984,6.46643109540637,-490,183,REPUBLICANOS
AL,28398,PINDOBA,586,594,1364,1261,-7.55131964809385,1.36518771331058,-103,8,PTB
AL,28479,PORTO DE PEDRAS,2235,2237,2832,2725,-3.77824858757062,0.0894854586129812,-107,2,MDB
AL,28495,PORTO REAL DO COLÉGIO,2237,2405,9354,9211,-1.52875775069489,7.51005811354493,-143,168,MDB
AL,28517,QUEBRANGULO,1672,1733,5252,5173,-1.5041888804265,3.64832535885167,-79,61,MDB
AL,28533,RIO LARGO,20242,22173,24603,24037,-2.30053245539162,9.53957118861772,-566,1931,PP
AL,28550,ROTEIRO,1380,1462,2381,2250,-5.50188996220076,5.94202898550724,-131,82,PP
AL,28576,SANTA LUZIA DO NORTE,1544,1753,3033,2859,-5.73689416419386,13.5362694300518,-174,209,PP
AL,28592,SANTANA DO IPANEMA,5387,6028,17264,17056,-1.20481927710844,11.8990161499907,-208,641,MDB
AL,28657,SÃO JOSÉ DA LAJE,4277,4825,7207,7030,-2.45594560843624,12.8127191956979,-177,548,PP
AL,28690,SÃO LUÍS DO QUITUNDE,6839,7169,8611,8389,-2.57809778190686,4.82526685187894,-222,330,MDB
AL,28711,SÃO MIGUEL DOS CAMPOS,13946,14924,15501,15449,-0.335462228243344,7.01276351642048,-52,978,MDB
AL,28738,SÃO MIGUEL DOS MILAGRES,2407,2447,2718,2648,-2.57542310522443,1.66181969256336,-70,40,PTB
AL,28754,SÃO SEBASTIÃO,3872,4612,13823,13701,-0.882586992693335,19.1115702479339,-122,740,PP
AL,28770,SATUBA,4519,4973,4732,4646,-1.8174133558749,10.0464704580659,-86,454,PP
AL,28835,TRAIPU,2204,2371,9935,9934,-0.0100654252642163,7.57713248638838,-1,167,MDB
AL,28851,UNIÃO DOS PALMARES,11002,11875,19983,19944,-0.195165891007354,7.93492092346846,-39,873,MDB
AL,28878,VIÇOSA,4648,4960,9441,9237,-2.16078805211313,6.71256454388984,-204,312,REPUBLICANOS
AM,2003,APUÍ,4600,4924,2885,2809,-2.63431542461006,7.04347826086957,-76,324,PSC
AM,2011,NOVO AIRÃO,3677,3727,4505,4166,-7.52497225305216,1.3598041881969,-339,50,PSC
AM,2020,GUAJARÁ,4154,4407,3135,2891,-7.78309409888357,6.09051516610495,-244,253,PP
AM,2054,ATALAIA DO NORTE,1051,1136,4724,4660,-1.35478408128704,8.08753568030447,-64,85,PSC
AM,2097,BARCELOS,2299,2483,4675,4616,-1.26203208556149,8.0034797738147,-59,184,MDB
AM,2119,BARREIRINHA,1207,1327,14691,14079,-4.16581580559526,9.94200497100248,-612,120,MDB
AM,2135,BENJAMIN CONSTANT,2372,2623,13665,13370,-2.15879985364069,10.5817875210793,-295,251,MDB
AM,2151,BOCA DO ACRE,7640,8499,7234,7050,-2.54354437379043,11.2434554973822,-184,859,PP
AM,2178,BORBA,3231,3281,12422,12371,-0.410561906295281,1.54750851129681,-51,50,PP
AM,2194,CANUTAMA,2657,2951,3835,3539,-7.71838331160365,11.0651110274746,-296,294,PSC
AM,2232,CAREIRO,5472,5570,10450,9949,-4.79425837320574,1.79093567251463,-501,98,REPUBLICANOS
AM,2259,COARI,12717,12829,20449,19841,-2.97325052569808,0.880710859479428,-608,112,
AM,2330,FONTE BOA,2446,2480,8484,8421,-0.742574257425743,1.39002452984465,-63,34,PL
AM,2356,HUMAITÁ,9836,10935,12604,12406,-1.57092986353539,11.173241154941,-198,1099,PSC
AM,2372,SANTA ISABEL DO RIO NEGRO,1253,1305,3824,3703,-3.16422594142259,4.15003990422984,-121,52,PP
AM,2410,ITACOATIARA,16981,17807,33435,31621,-5.42545237027068,4.86426005535598,-1814,826,PSC
AM,2437,ITAPIRANGA,2450,2457,3679,3538,-3.83256319652079,0.285714285714289,-141,7,PP
AM,2470,JURUÁ,1706,1801,3019,2870,-4.93540907585294,5.5685814771395,-149,95,MDB
AM,2518,LÁBREA,5785,6242,12010,11683,-2.72273105745212,7.89974070872948,-327,457,MDB
AM,2534,MANACAPURU,22942,23667,30532,28386,-7.02869120922312,3.16014296922675,-2146,725,REPUBLICANOS
AM,2577,MANICORÉ,7486,8056,15479,15172,-1.98333225660572,7.61421319796953,-307,570,PSD
AM,2631,NHAMUNDÁ,1440,1457,9242,8939,-3.27851114477385,1.18055555555556,-303,17,PSD
AM,2658,NOVA OLINDA DO NORTE,2531,2673,10813,10114,-6.46444095070748,5.61043065981826,-699,142,MDB
AM,2674,NOVO ARIPUANÃ,2021,2105,6804,6747,-0.837742504409167,4.15635823849578,-57,84,PSDB
AM,2690,PARINTINS,7930,8809,43220,41689,-3.54234150856085,11.0844892812106,-1531,879,DEM
AM,2712,PAUINI,2045,2237,5206,4838,-7.06876680752977,9.38875305623472,-368,192,PSD
AM,2739,SANTO ANTÔNIO DO IÇÁ,3027,3150,8905,8849,-0.62886019090399,4.06342913776017,-56,123,REPUBLICANOS
AM,2771,SILVES,1043,1081,5151,4771,-7.3772083090662,3.64333652924258,-380,38,
AM,2810,TEFÉ,10897,11300,20784,20281,-2.42013086989993,3.69826557768194,-503,403,PTB
AM,2852,URUCARÁ,1764,1908,6686,6317,-5.51899491474723,8.16326530612246,-369,144,MDB
AM,2879,URUCURITUBA,1810,1836,7577,7073,-6.65170911970436,1.43646408839779,-504,26,PT
AM,2895,ALVARÃES,1997,2102,6014,5978,-0.598603259062192,5.25788683024537,-36,105,PSC
AM,2933,ANAMÃ,2041,2051,3927,3733,-4.94015788133435,0.489955903968653,-194,10,PSC
AM,2976,BOA VISTA DO RAMOS,985,1072,8269,7837,-5.22433184181884,8.83248730964468,-432,87,PSC
AM,98353,IRANDUBA,11829,12590,16381,15304,-6.5746901898541,6.43334178713331,-1077,761,DEM
AM,98418,PRESIDENTE FIGUEIREDO,7515,7935,9350,9038,-3.33689839572192,5.58882235528941,-312,420,
AM,98434,RIO PRETO DA EVA,5848,6081,7313,6752,-7.67127034048954,3.984268125855,-561,233,PP
AM,98477,TABATINGA,7795,8582,17437,17368,-0.395710271262262,10.096215522771,-69,787,MDB
AM,98493,UARINI,1859,1936,4335,4087,-5.72087658592849,4.14201183431953,-248,77,PSD
AM,98515,TONANTINS,1237,1298,6363,6307,-0.880088008800883,4.93128536782539,-56,61,REPUBLICANOS
AP,6025,PORTO GRANDE,4058,4112,5510,5120,-7.07803992740472,1.33070478068014,-390,54,PDT
AP,6076,MAZAGÃO,4924,4967,9808,8466,-13.6827079934747,0.873273761169791,-1342,43,PSL
AP,6092,OIAPOQUE,4353,4444,8885,8150,-8.27236916150816,2.09051229037445,-735,91,PRTB
AP,6130,LARANJAL DO JARI,7198,7296,12198,11222,-8.00131169044106,1.36148930258404,-976,98,DEM
AP,6157,SANTANA,32615,35397,28840,27693,-3.97711511789182,8.5298175686034,-1147,2782,PP
BA,30694,JUSSARI,1082,1183,2119,2111,-0.377536573855597,9.33456561922366,-8,101,PSD
BA,30732,ARATACA,1149,1236,3091,2988,-3.33225493367842,7.57180156657964,-103,87,PSD
BA,33316,ANTAS,1960,2491,5699,5682,-0.298297947008253,27.0918367346939,-17,531,PSB
BA,34070,CAIRU,3211,3539,6846,6798,-0.701139351446101,10.2148863282467,-48,328,DEM
BA,34096,CALDEIRÃO GRANDE,1164,1915,5986,5815,-2.85666555295689,64.5189003436426,-171,751,PP
BA,34193,CAMPO FORMOSO,10017,12308,30654,30504,-0.489332550401256,22.8711190975342,-150,2291,DEM
BA,35530,IBIQUERA,352,405,2371,2316,-2.31969633066217,15.0568181818182,-55,53,PP
BA,35831,IPUPIARA,1632,2067,4593,4513,-1.74178097104289,26.6544117647059,-80,435,PP
BA,36030,ITAGI,1927,2335,4861,4857,-0.0822875951450364,21.1728074727556,-4,408,DEM
BA,36099,ITAJU DO COLÔNIA,1489,1541,2269,2206,-2.77655354781842,3.49227669576897,-63,52,PSD
BA,36838,LAMARÃO,529,629,5014,4997,-0.339050658157158,18.9035916824197,-17,100,PT
BA,36994,MACURURÉ,603,666,4209,4186,-0.546448087431695,10.4477611940299,-23,63,PC do B
BA,37273,MILAGRES,1517,1663,5078,5062,-0.315084679007482,9.62425840474621,-16,146,PP
BA,37397,MUCUGÊ,1981,2432,5054,4977,-1.52354570637119,22.766279656739,-77,451,DEM
BA,37460,MUQUÉM DO SÃO FRANCISCO,1415,1582,5581,5516,-1.16466583049633,11.8021201413428,-65,167,PT
BA,38431,RODELAS,893,994,4823,4774,-1.01596516690856,11.3101903695409,-49,101,PC do B
BA,38571,SANTA CRUZ DA VITÓRIA,1011,1227,2005,1896,-5.43640897755611,21.3649851632048,-109,216,PSDB
BA,38911,SAPEAÇU,2120,2881,9300,9229,-0.763440860215059,35.8962264150943,-71,761,DEM
BA,39144,SÍTIO DO MATO,1663,1894,6112,6103,-0.14725130890052,13.8905592303067,-9,231,PSD
BA,39489,UMBURANAS,2182,2347,5932,5911,-0.354012137559001,7.56186984417966,-21,165,DEM
BA,39691,WENCESLAU GUIMARÃES,2981,3350,8412,8354,-0.689491203043269,12.3783965112378,-58,369,REPUBLICANOS
BA,39772,MANSIDÃO,1021,1100,5517,5491,-0.471270618089537,7.73751224289911,-26,79,SOLIDARIEDADE
BA,39926,SÃO JOSÉ DA VITÓRIA,1266,1341,2139,2135,-0.187003272557273,5.92417061611374,-4,75,PSB
BA,39969,NOVA IBIÁ,1195,1304,2504,2487,-0.678913738019171,9.12133891213389,-17,109,PSD
CE,13269,POTIRETAMA,619,672,4029,4002,-0.670141474311248,8.56219709208401,-27,53,PP
CE,13382,BANABUIÚ,1781,1941,9706,9632,-0.762415001030292,8.9837170129141,-74,160,PDT
CE,13463,CHORÓ,1326,1492,7288,7107,-2.48353457738749,12.5188536953243,-181,166,PL
CE,13595,CARIDADE,2180,2420,10777,10675,-0.946460053818321,11.0091743119266,-102,240,PDT
CE,14060,IBARETAMA,1615,1851,7809,7718,-1.1653220642848,14.6130030959752,-91,236,PSD
ES,56006,SÃO DOMINGOS DO NORTE,2727,3036,2996,2935,-2.03604806408545,11.3311331133113,-61,309,DEM
ES,56090,APIACÁ,2145,2356,2208,2172,-1.63043478260869,9.83682983682983,-36,211,PP
ES,56138,ATÍLIO VIVÁCQUA,3488,3806,3182,3130,-1.63419233186675,9.11697247706422,-52,318,PDT
ES,56146,BREJETUBA,3689,4149,3013,2941,-2.38964487222038,12.4695039306045,-72,460,PDT
ES,56154,BAIXO GUANDU,9209,10069,7611,7577,-0.446721849954013,9.33869041155391,-34,860,SOLIDARIEDADE
ES,56189,SOORETAMA,6417,7205,7203,7118,-1.1800638622796,12.2798815645941,-85,788,REPUBLICANOS
ES,56219,BOM JESUS DO NORTE,2758,3041,2681,2677,-0.149198060425215,10.2610587382161,-4,283,PMN
ES,56227,VILA VALÉRIO,4019,4367,5276,5183,-1.76269901440486,8.65887036576263,-93,348,PP
ES,56316,CONCEIÇÃO DA BARRA,5250,5815,9740,9708,-0.328542094455853,10.7619047619048,-32,565,PTB
ES,56502,IBITIRAMA,3396,3783,1757,1728,-1.6505406943654,11.3957597173145,-29,387,PSD
ES,56618,JERÔNIMO MONTEIRO,3564,4045,3273,3227,-1.40543843568591,13.4960718294052,-46,481,PSD
ES,56693,MONTANHA,4283,4805,5844,5755,-1.52292950034223,12.1877188886295,-89,522,PSB
ES,56774,NOVA VENÉCIA,13657,14891,13420,13255,-1.22950819672131,9.03565936882185,-165,1234,PDT
ES,56790,PANCAS,5331,5835,5036,5026,-0.198570293884037,9.45413618458075,-10,504,PDT
ES,56812,PINHEIROS,4641,5180,8069,8064,-0.0619655471557845,11.6138763197587,-5,539,CIDADANIA
ES,56839,PIÚMA,7077,7657,4911,4908,-0.0610873549175328,8.19556309170553,-3,580,CIDADANIA
ES,56855,PRESIDENTE KENNEDY,5648,6043,3492,3478,-0.400916380297822,6.99362606232294,-14,395,PSD
ES,56936,SÃO GABRIEL DA PALHA,9876,10467,8018,7866,-1.8957345971564,5.98420413122722,-152,591,PSL
ES,57134,JAGUARÉ,6203,6826,9973,9803,-1.70460242655169,10.0435273254877,-170,623,CIDADANIA
ES,57150,PEDRO CANÁRIO,4671,5170,7320,7296,-0.327868852459012,10.6829372725326,-24,499,REPUBLICANOS
ES,57991,ÁGUIA BRANCA,2466,2732,3799,3781,-0.473808897078176,10.786699107867,-18,266,CIDADANIA
GO,92061,CAMPOS VERDES,907,961,1951,1927,-1.23013839056894,5.95369349503858,-24,54,MDB
GO,92126,COLINAS DO SUL,697,761,1602,1553,-3.05867665418227,9.18220946915351,-49,64,PP
GO,92266,GOUVELÂNDIA,987,1145,1720,1717,-0.174418604651161,16.0081053698075,-3,158,PDT
GO,92347,MIMOSO DE GOIÁS,1046,1138,1206,1182,-1.99004975124378,8.79541108986617,-24,92,DEM
GO,92460,PALESTINA DE GOIÁS,1450,1613,1139,1124,-1.31694468832309,11.2413793103448,-15,163,PSC
GO,92495,ARUANÃ,2205,2417,2241,2212,-1.29406514948683,9.61451247165532,-29,212,PSDB
GO,92614,BALIZA,751,813,1252,1200,-4.15335463258786,8.25565912117177,-52,62,DEM
GO,92797,CABECEIRAS,2191,2526,2665,2661,-0.150093808630392,15.2898219990872,-4,335,PDT
GO,92827,RIO QUENTE,1554,1707,1149,1138,-0.95735422106179,9.84555984555984,-11,153,SOLIDARIEDADE
GO,92860,GUARINOS,587,634,1110,1101,-0.810810810810814,8.0068143100511,-9,47,PL
GO,92940,ALTO HORIZONTE,2426,2540,1840,1825,-0.815217391304346,4.69909315746084,-15,114,PSD
GO,93068,PEROLÂNDIA,1102,1277,1040,1028,-1.15384615384615,15.8802177858439,-12,175,DEM
GO,93084,NOVA IGUAÇU DE GOIÁS,954,1049,979,977,-0.204290091930537,9.958071278826,-2,95,PP
GO,93181,MONTIVIDIU DO NORTE,1246,1286,1283,1256,-2.10444271239283,3.21027287319422,-27,40,PP
GO,93246,UIRAPURU,782,867,1116,1098,-1.61290322580645,10.8695652173913,-18,85,DEM
GO,93289,VILA BOA,805,935,1724,1721,-0.174013921113692,16.1490683229814,-3,130,DEM
GO,93408,BONÓPOLIS,989,1030,1357,1317,-2.94767870302137,4.14560161779576,-40,41,DEM
GO,93424,PORTEIRÃO,1148,1345,1312,1267,-3.42987804878049,17.1602787456446,-45,197,PSB
GO,93548,IPIRANGA DE GOIÁS,1256,1368,1013,1008,-0.493583415597232,8.9171974522293,-5,112,PSD
GO,93580,CAMPO LIMPO DE GOIÁS,2701,3013,1697,1688,-0.530347672362996,11.551277304702,-9,312,DEM
GO,94277,IVOLÂNDIA,893,1060,1043,1038,-0.47938638542665,18.7010078387458,-5,167,DEM
GO,94471,MAIRIPOTABA,1000,1151,916,885,-3.38427947598253,15.1,-31,151,PP
GO,94650,MOIPORÁ,923,1073,670,647,-3.43283582089552,16.2513542795233,-23,150,PMN
GO,94676,MONTE ALEGRE DE GOIÁS,1047,1189,2692,2659,-1.22585438335809,13.5625596943649,-33,142,DEM
GO,94919,NOVA AMÉRICA,1005,1090,863,853,-1.15874855156431,8.45771144278606,-10,85,PSL
GO,95010,NOVO BRASIL,1349,1443,1144,1126,-1.57342657342657,6.96812453669384,-18,94,PSDB
GO,95354,PILAR DE GOIÁS,1054,1159,1533,1459,-4.82713633398565,9.96204933586338,-74,105,PSDB
GO,96512,MUNDO NOVO,1650,1838,1812,1797,-0.827814569536423,11.3939393939394,-15,188,REPUBLICANOS
GO,96539,NOVA CRIXÁS,2687,2933,3505,3411,-2.68188302425108,9.15519166356531,-94,246,PATRIOTA
GO,96571,VICENTINÓPOLIS,2344,2613,2414,2406,-0.33140016570008,11.4761092150171,-8,269,PSDB
GO,96695,ARAGUAPAZ,2056,2318,2132,2083,-2.29831144465291,12.7431906614786,-49,262,DEM
GO,96717,ARENÓPOLIS,1165,1291,1265,1233,-2.5296442687747,10.8154506437768,-32,126,PODE
GO,96873,CAMPINAÇU,1153,1257,1335,1334,-0.0749063670411942,9.01994796183869,-1,104,PL
GO,96890,SANTA ISABEL,1512,1681,1173,1169,-0.341005967604435,11.1772486772487,-4,169,PSDB
MA,7030,ALCÂNTARA,2288,2455,10006,9671,-3.34799120527683,7.29895104895104,-335,167,PL
MA,7145,BACURITUBA,369,383,3257,3142,-3.53085661651826,3.7940379403794,-115,14,PSD
MA,7218,AXIXÁ,1480,1553,6314,6297,-0.269242952169779,4.93243243243244,-17,73,PDT
MA,7226,CACHOEIRA GRANDE,1050,1065,5097,4897,-3.92387679026879,1.42857142857142,-200,15,PL
MA,7285,BOM LUGAR,1828,1954,6592,6571,-0.318567961165051,6.89277899343546,-21,126,PC do B
MA,7412,BURITI,1691,1856,13785,13359,-3.09031556039173,9.75753991720876,-426,165,PL
MA,7420,CENTRAL DO MARANHÃO,468,480,4628,4604,-0.518582541054447,2.56410256410256,-24,12,REPUBLICANOS
MA,7480,CIDELÂNDIA,2161,2380,5774,5752,-0.381018358157259,10.1341971309579,-22,219,PP
MA,7552,CARUTAPERA,3361,3494,9630,9608,-0.228452751817243,3.95715560844987,-22,133,SOLIDARIEDADE
MA,7706,ITAIPAVA DO GRAJAÚ,1638,1735,5820,5768,-0.893470790378004,5.92185592185592,-52,97,PDT
MA,7714,CURURUPU,2952,3049,15506,15297,-1.34786534244808,3.28590785907859,-209,97,PSB
MA,7722,ITINGA DO MARANHÃO,5730,6221,7039,7017,-0.312544395510728,8.56893542757418,-22,491,PSDB
MA,7919,GRAÇA ARANHA,861,922,3672,3635,-1.00762527233116,7.08478513356563,-37,61,PDT
MA,8206,SANTA FILOMENA DO MARANHÃO,780,879,3657,3653,-0.109379272627841,12.6923076923077,-4,99,PP
MA,8222,SANTANA DO MARANHÃO,1039,1058,4568,4509,-1.29159369527145,1.82868142444659,-59,19,PL
MA,8265,SÃO DOMINGOS DO AZEITÃO,968,1156,3852,3797,-1.42782969885774,19.4214876033058,-55,188,REPUBLICANOS
MA,8281,SÃO FRANCISCO DO BREJÃO,2165,2355,3592,3560,-0.890868596881955,8.77598152424943,-32,190,PSL
MA,8290,MATINHA,3230,3329,11072,11061,-0.0993497109826547,3.06501547987617,-11,99,PC do B
MA,8389,SÃO PEDRO DA ÁGUA BRANCA,2267,2435,4384,4316,-1.55109489051095,7.41067490074989,-68,168,PTB
