sg_uf,cd_municipio,nm_municipio,jair_bolsonaro_1turno,jair_bolsonaro_2turno,lula_1turno,lula_2turno,queda_lula_percentual,aumento_bolsonaro_percentual,diferenca_lula_votos,diferenca_bolsonaro_votos,sigla_partido_prefeito_2020
MA,8419,MORROS,2344,2429,9620,9263,-3.71101871101871,3.62627986348123,-357,85,PL
MA,8435,NINA RODRIGUES,1148,1186,5987,5832,-2.58894270920328,3.31010452961673,-155,38,PDT
MA,8451,NOVA IORQUE,495,532,2381,2377,-0.167996640067203,7.47474747474748,-4,37,PL
MA,8605,TURILÂNDIA,1934,2142,8384,8291,-1.10925572519084,10.7549120992761,-93,208,PTB
MA,8621,VILA NOVA DOS MARTÍRIOS,2058,2207,3864,3794,-1.81159420289855,7.24003887269193,-70,149,PL
MA,8630,PENALVA,2295,2345,15401,15341,-0.389585091877154,2.17864923747277,-60,50,PP
MA,8656,PERI MIRIM,1323,1340,6731,6508,-3.31302926756797,1.28495842781557,-223,17,PC do B
MA,8818,PRESIDENTE JUSCELINO,1095,1149,5957,5859,-1.64512338425382,4.93150684931507,-98,54,PL
MA,8834,PRESIDENTE VARGAS,892,931,6375,6213,-2.54117647058824,4.37219730941705,-162,39,PDT
MA,8931,SAMBAÍBA,1150,1225,2998,2809,-6.30420280186791,6.52173913043479,-189,75,PP
MA,9059,SÃO BENEDITO DO RIO PRETO,1560,1627,9726,9571,-1.59366646103228,4.2948717948718,-155,67,PSC
MA,9253,SÃO RAIMUNDO DAS MANGABEIRAS,3246,3412,7842,7837,-0.0637592450905333,5.11398644485521,-5,166,PSD
MA,9695,MIRANDA DO NORTE,2711,2856,8884,8836,-0.540297163439896,5.34857985983033,-48,145,PL
MG,40657,ARACITABA,572,669,1185,1149,-3.03797468354431,16.958041958042,-36,97,PSDB
MG,40827,SEM PEIXE,647,722,1752,1679,-4.16666666666666,11.5919629057187,-73,75,PSD
MG,41300,PATIS,610,736,2976,2958,-0.604838709677424,20.655737704918,-18,126,PTB
MG,41785,CABECEIRA GRANDE,1736,2029,1977,1950,-1.36570561456753,16.8778801843318,-27,293,AVANTE
MG,42200,IBIRACATU,710,829,2916,2913,-0.102880658436211,16.7605633802817,-3,119,PP
MG,42277,CAMPO FLORIDO,1973,2266,2647,2626,-0.793350963354744,14.8504815002534,-21,293,PSD
MG,43117,CEDRO DO ABAETÉ,390,470,432,420,-2.77777777777778,20.5128205128205,-12,80,DEM
MG,44911,ESTRELA DALVA,678,716,1275,1248,-2.11764705882352,5.6047197640118,-27,38,PSB
MG,45578,GRUPIARA,574,774,596,529,-11.241610738255,34.8432055749129,-67,200,PSDB
MG,45713,GUARDA-MOR,1957,2270,2025,2019,-0.296296296296295,15.9938681655595,-6,313,PSDB
MG,46213,INIMUTABA,1527,1837,2784,2775,-0.323275862068961,20.3012442698101,-9,310,CIDADANIA
MG,51519,SANTA FÉ DE MINAS,506,554,1744,1734,-0.573394495412849,9.48616600790513,-10,48,PTB
MG,53317,SERRA DA SAUDADE,419,441,395,378,-4.30379746835443,5.25059665871122,-17,22,PP
MG,53619,TAPIRA,2317,2587,997,973,-2.40722166499499,11.6529995684074,-24,270,MDB
MG,53635,TAPIRAÍ,583,712,771,768,-0.389105058365757,22.1269296740995,-3,129,DEM
MS,55000,NOVA ALVORADA DO SUL,5383,5913,4832,4784,-0.993377483443714,9.84581088612297,-48,530,DEM
MS,55026,LAGUNA CARAPÃ,2393,2664,1668,1575,-5.57553956834532,11.324697033013,-93,271,MDB
MS,55042,NOVO HORIZONTE DO SUL,1275,1416,1431,1429,-0.139762403913346,11.0588235294118,-2,141,PSDB
MS,55050,PARAÍSO DAS ÁGUAS,1905,2064,888,795,-10.472972972973,8.34645669291339,-93,159,DEM
MS,55069,FIGUEIRÃO,884,977,876,871,-0.570776255707761,10.5203619909502,-5,93,PTB
MS,90034,ÁGUA CLARA,4181,4615,3428,3267,-4.69661610268378,10.380291796221,-161,434,PSD
MS,90115,AMAMBAI,10109,11008,8358,8200,-1.89040440296722,8.89306558512217,-158,899,PSDB
MS,90131,ANASTÁCIO,6364,6944,6034,5902,-2.18760357971495,9.11376492771843,-132,580,PSDB
MS,90158,ANAURILÂNDIA,1897,2100,2320,2305,-0.646551724137934,10.7011070110701,-15,203,PSDB
MS,90174,ANTÔNIO JOÃO,2730,2971,2648,2591,-2.15256797583081,8.82783882783882,-57,241,DEM
MS,90212,AQUIDAUANA,11937,12803,12259,12066,-1.5743535361775,7.25475412582726,-193,866,PSDB
MS,90298,BANDEIRANTES,2223,2415,2072,2051,-1.01351351351351,8.63697705802968,-21,192,
MS,90492,CAMAPUÃ,4253,4697,3559,3463,-2.6973869064344,10.4396896308488,-96,444,DEM
MS,90530,CARACOL,1771,1806,1550,1483,-4.32258064516129,1.97628458498025,-67,35,PSDB
MS,90557,CAARAPÓ,9003,9675,6137,6076,-0.993970995600457,7.46417860713096,-61,672,PSDB
MS,90611,CORGUINHO,1384,1489,1352,1342,-0.739644970414199,7.58670520231215,-10,105,PSDB
MS,90654,COXIM,9149,10152,8298,8215,-1.00024102193299,10.9629467701388,-83,1003,DEM
MS,90816,GUIA LOPES DA LAGUNA,2759,3008,2433,2343,-3.69913686806412,9.02500906125407,-90,249,PSDB
MS,90859,IGUATEMI,4242,4540,2997,2916,-2.7027027027027,7.02498821310702,-81,298,PP
MS,90972,JARAGUARI,1771,1934,1889,1835,-2.85865537321334,9.20383963862226,-54,163,PSDB
MS,91073,MARACAJU,13484,14714,7072,6926,-2.06447963800905,9.1219222782557,-146,1230,PSDB
MS,91111,MIRANDA,5194,5610,8380,7819,-6.69451073985681,8.00924143242203,-561,416,PSDB
MS,91138,NAVIRAÍ,16195,17697,9124,9093,-0.339763261727311,9.27446742821858,-31,1502,PSDB
MS,91154,NIOAQUE,3813,4073,3692,3578,-3.08775731310943,6.818777865198,-114,260,PSDB
MS,91278,PEDRO GOMES,2063,2257,2002,1966,-1.79820179820179,9.40378090159961,-36,194,DEM
MS,91375,PORTO MURTINHO,2697,2741,2596,2451,-5.58551617873652,1.63144234334445,-145,44,PSDB
MS,91413,RIBAS DO RIO PARDO,4865,5422,4387,4330,-1.29929336676544,11.4491264131552,-57,557,PSOL
MS,91430,RIO BRILHANTE,10106,10973,7852,7765,-1.1079979623026,8.57906194339997,-87,867,MDB
MS,91472,RIO VERDE DE MATO GROSSO,5493,5943,4462,4320,-3.18242940385477,8.19224467504096,-142,450,MDB
MS,91499,ROCHEDO,1603,1787,1399,1386,-0.929235167977127,11.4784778540237,-13,184,PSDB
MS,91570,SIDROLÂNDIA,12603,13497,10845,10740,-0.968188105117562,7.0935491549631,-105,894,PP
MS,91596,TERENOS,4542,5081,4669,4656,-0.278432212465196,11.8670189343901,-13,539,PSDB
MS,91715,ARAL MOREIRA,2962,3232,2812,2627,-6.57894736842105,9.11546252532074,-185,270,PSDB
MS,91731,ELDORADO,3433,3801,2378,2340,-1.59798149705634,10.7194873288669,-38,368,PATRIOTA
MS,91790,MUNDO NOVO,6025,6445,3863,3826,-0.95780481491069,6.97095435684647,-37,420,PSDB
MS,91804,DOIS IRMÃOS DO BURITI,1963,2206,3853,3779,-1.92058136516999,12.3790117167601,-74,243,MDB
MS,91820,JUTI,1793,1939,2084,2016,-3.26295585412668,8.14277746793084,-68,146,PSD
MS,91847,PARANHOS,2346,2388,3419,3295,-3.62679145949107,1.79028132992327,-124,42,
MS,91880,SONORA,4269,4677,3567,3507,-1.68208578637511,9.55727336612791,-60,408,DEM
MS,98019,BODOQUENA,2289,2473,2343,2281,-2.64618011096884,8.03844473569244,-62,184,PSDB
MS,98035,COSTA RICA,8605,9506,6034,5936,-1.62412993039444,10.4706565950029,-98,901,PP
MS,98051,DOURADINA,2222,2362,1553,1552,-0.0643915003219586,6.3006300630063,-1,140,PSDB
MS,98078,ITAQUIRAÍ,4117,4497,5227,5198,-0.554811555385504,9.23002186057809,-29,380,DEM
MS,98094,SÃO GABRIEL DO OESTE,10198,11074,4994,4971,-0.460552663195835,8.58991959207687,-23,876,PSDB
MS,98116,SELVÍRIA,1842,1999,2835,2718,-4.12698412698412,8.52334419109664,-117,157,PSDB
MS,98132,SETE QUEDAS,3136,3369,1967,1906,-3.10116929334011,7.42984693877551,-61,233,PSDB
MS,98159,TACURU,1474,1640,3034,2923,-3.65853658536586,11.2618724559023,-111,166,PATRIOTA
MS,98175,TAQUARUSSU,1131,1253,1516,1461,-3.62796833773087,10.7869142351901,-55,122,PSDB
MS,98590,CORONEL SAPUCAIA,4254,4530,4254,4090,-3.85519511048426,6.48801128349787,-164,276,MDB
MT,89826,NOVA SANTA HELENA,1499,1588,625,608,-2.72,5.93729152768512,-17,89,SOLIDARIEDADE
MT,90018,ACORIZAL,2220,2355,2986,2838,-4.95646349631614,6.08108108108107,-148,135,
MT,90069,QUERÊNCIA,7473,7944,2786,2623,-5.85068198133525,6.3026896828583,-163,471,DEM
MT,90093,ALTO PARAGUAI,1599,1817,2648,2647,-0.0377643504531733,13.6335209505941,-1,218,MDB
MT,90123,NOVA MARINGÁ,2012,2149,875,868,-0.800000000000001,6.80914512922466,-7,137,PATRIOTA
MT,90166,NOVA MARILÂNDIA,1116,1190,779,773,-0.770218228498076,6.63082437275986,-6,74,PP
MT,90239,ARAGUAINHA,314,365,465,416,-10.5376344086021,16.2420382165605,-49,51,PSL
MT,90247,SÃO JOSÉ DO XINGU,1536,1653,1224,1210,-1.1437908496732,7.6171875,-14,117,DEM
MT,90263,APIACÁS,2417,2700,1557,1500,-3.66088631984586,11.7087298303682,-57,283,MDB
MT,90310,BARÃO DE MELGAÇO,1636,1701,3010,2917,-3.08970099667774,3.97310513447433,-93,65,PSDB
MT,90328,SANTO AFONSO,901,990,717,689,-3.90516039051604,9.87791342952276,-28,89,DEM
MT,90549,CASTANHEIRA,2559,2812,1378,1359,-1.37880986937591,9.88667448221963,-19,253,PT
MT,90565,JANGADA,1963,2115,3230,2991,-7.39938080495356,7.74325012735608,-239,152,PP
MT,90743,CAMPOS DE JÚLIO,2602,2833,1103,1059,-3.98912058023572,8.87778631821676,-44,231,PATRIOTA
MT,90786,FELIZ NATAL,2815,3133,1559,1485,-4.74663245670302,11.2966252220249,-74,318,MDB
MT,90840,UNIÃO DO SUL,1416,1567,741,695,-6.20782726045884,10.6638418079096,-46,151,MDB
MT,90867,NOVA LACERDA,1760,1906,1144,1137,-0.611888111888115,8.29545454545455,-7,146,DEM
MT,90883,NOVA UBIRATÃ,3554,3875,1743,1688,-3.15547905909351,9.03207653348339,-55,321,PRTB
MT,90905,BOM JESUS DO ARAGUAIA,1960,2098,1328,1272,-4.21686746987952,7.04081632653062,-56,138,PSB
MT,90921,SERRA NOVA DOURADA,724,747,374,360,-3.74331550802139,3.1767955801105,-14,23,PP
MT,90980,SANTA CRUZ DO XINGU,821,891,419,404,-3.5799522673031,8.52618757612667,-15,70,PSD
MT,91006,CONQUISTA D OESTE,1442,1568,590,581,-1.52542372881356,8.7378640776699,-9,126,PL
MT,91049,SANTA RITA DO TRIVELATO,1032,1104,522,511,-2.10727969348659,6.9767441860465,-11,72,PSD
MT,91057,LUCIARA,836,881,739,730,-1.21786197564276,5.38277511961722,-9,45,MDB
MT,91090,VILA BELA DA SANTÍSSIMA TRINDADE,3863,4157,3252,3140,-3.4440344403444,7.61066528604713,-112,294,MDB
MT,91103,ITANHANGÁ,2922,3185,801,755,-5.74282147315856,9.00068446269677,-46,263,PL
MT,91170,NOBRES,5659,6154,2833,2806,-0.953053300388285,8.7471284679272,-27,495,PSDB
MT,91219,NOSSA SENHORA DO LIVRAMENTO,2782,3081,6339,6260,-1.24625335226376,10.7476635514019,-79,299,DEM
MT,91332,PONTE BRANCA,504,558,843,826,-2.01660735468565,10.7142857142857,-17,54,PODE
MT,91537,ROSÁRIO OESTE,4075,4467,4949,4791,-3.19256415437462,9.6196319018405,-158,392,SOLIDARIEDADE
MT,91553,SANTO ANTÔNIO DO LEVERGER,5343,5830,6753,6651,-1.51043980453132,9.11472955268575,-102,487,PTB
MT,91618,TESOURO,849,931,1075,1002,-6.7906976744186,9.65842167255595,-73,82,PSB
MT,91979,SANTA TEREZINHA,1359,1480,1854,1842,-0.647249190938515,8.90360559234731,-12,121,PSB
MT,98639,ARAGUAIANA,1036,1192,1117,1093,-2.14861235452104,15.0579150579151,-24,156,PSB
MT,98671,COCALINHO,1693,1816,1393,1341,-3.73295046661881,7.26520968694624,-52,123,PSB
MT,98850,PORTO ALEGRE DO NORTE,3165,3418,2195,2176,-0.865603644646928,7.99368088467614,-19,253,PDT
MT,98876,PORTO ESPERIDIÃO,2779,2975,2474,2389,-3.4357316087308,7.05289672544081,-85,196,PSD
MT,99074,INDIAVAÍ,795,829,624,620,-0.641025641025639,4.27672955974843,-4,34,DEM
PA,4006,GOIANÉSIA DO PARÁ,6085,6556,9008,8674,-3.70781527531083,7.74034511092852,-334,471,
PA,4057,AFUÁ,5785,6268,12781,12643,-1.07972772083561,8.34917891097666,-138,483,PSD
PA,4065,SÃO JOÃO DE PIRABAS,3540,3700,9054,8820,-2.5844930417495,4.51977401129944,-234,160,MDB
PA,4081,TUCUMÃ,12354,13145,6862,6801,-0.888953657825709,6.40278452323135,-61,791,PSDB
PA,4090,ALMEIRIM,4798,4855,11781,11451,-2.80112044817927,1.1879949979158,-330,57,MDB
PA,4120,ELDORADO DOS CARAJÁS,6676,7326,7206,7185,-0.291423813488756,9.73636908328341,-21,650,PSD
PA,4146,SANTA LUZIA DO PARÁ,3070,3385,9564,9505,-0.616896695943126,10.2605863192182,-59,315,PSB
PA,4162,PALESTINA DO PARÁ,1687,1774,2651,2580,-2.6782346284421,5.1570835803201,-71,87,PSDB
PA,4197,AVEIRO,2953,2990,4740,4475,-5.59071729957806,1.2529630883847,-265,37,MDB
PA,4235,BAIÃO,4653,4983,15094,14758,-2.22605008612694,7.09219858156029,-336,330,PSD
PA,4286,TRAIRÃO,5348,5541,2722,2599,-4.51873622336517,3.60882572924457,-123,193,PL
PA,4308,PAU D ARCO,2667,2849,2452,2369,-3.38499184339315,6.8241469816273,-83,182,PODE
PA,4324,ULIANÓPOLIS,6704,7150,7409,7222,-2.52395734916993,6.65274463007159,-187,446,
PA,4359,BREVES,17819,18062,32399,30930,-4.53409055835057,1.3637128907346,-1469,243,MDB
PA,4391,CACHOEIRA DO ARARI,2520,2750,10686,10657,-0.271383118098445,9.12698412698412,-29,230,
PA,4405,VITÓRIA DO XINGU,5312,5734,5454,5300,-2.82361569490283,7.94427710843373,-154,422,PSB
PA,4413,CAMETÁ,17289,19273,61121,60945,-0.287953403903729,11.4755046561397,-176,1984,MDB
PA,4421,NOVO REPARTIMENTO,17086,18037,14140,14079,-0.43140028288543,5.56596043544422,-61,951,PSD
PA,4448,BREU BRANCO,8732,9276,12627,12388,-1.8927694622634,6.22995877233166,-239,544,PL
PA,4499,CHAVES,2771,2977,6321,6117,-3.22733744660655,7.43413929989174,-204,206,PTB
PA,4502,ABEL FIGUEIREDO,1563,1768,2377,2357,-0.841396718552801,13.1158029430582,-20,205,PL
PA,4510,COLARES,1864,2028,6411,6219,-2.99485259709874,8.79828326180256,-192,164,MDB
PA,4529,CUMARU DO NORTE,3206,3217,1962,1936,-1.32517838939857,0.343106674984406,-26,11,MDB
PA,4553,CURRALINHO,3556,3766,13871,13465,-2.92696993727921,5.90551181102361,-406,210,PSD
PA,4561,FLORESTA DO ARAGUAIA,5350,5535,4826,4802,-0.497306257770414,3.45794392523364,-24,185,PL
PA,4570,CURUÇÁ,6246,6688,17963,17798,-0.918554807103489,7.07652897854627,-165,442,MDB
PA,4588,BANNACH,1238,1340,848,790,-6.83962264150944,8.23909531502423,-58,102,MDB
PA,4596,FARO,883,942,3988,3772,-5.41624874623872,6.68176670441676,-216,59,PSD
PA,4600,NOVA IPIXUNA,3365,3644,4205,4173,-0.760998810939362,8.29123328380386,-32,279,
PA,4618,GURUPÁ,4414,4565,12035,11516,-4.31242210220191,3.42093339374716,-519,151,MDB
PA,4650,IGARAPÉ-MIRI,13133,14004,25116,25085,-0.123427297340339,6.63214802406154,-31,871,PT
PA,4715,ITAITUBA,34063,35796,21740,21526,-0.984360625574976,5.08763174118545,-214,1733,MDB
PA,4723,ANAPU,9334,9673,6332,6037,-4.65887555274794,3.63188343689735,-295,339,MDB
PA,4731,ITUPIRANGA,8472,9058,14322,13904,-2.91858678955453,6.91690273843248,-418,586,PSD
PA,4740,CURUÁ,1789,1911,6415,6397,-0.280592361652376,6.8194522079374,-18,122,PODE
PA,4758,JACUNDÁ,9627,10431,13309,13198,-0.834022090314823,8.35151137425989,-111,804,PL
PA,4766,CACHOEIRA DO PIRIÁ,2516,2634,7535,7329,-2.73390842733908,4.68998410174881,-206,118,SOLIDARIEDADE
PA,4782,PIÇARRA,3548,3609,3322,3208,-3.43166767007826,1.71927846674182,-114,61,MDB
PA,4820,SÃO JOÃO DA PONTA,1286,1349,3182,3122,-1.88560653676932,4.89891135303266,-60,63,MDB
PA,4847,SAPUCAIA,1576,1691,1913,1769,-7.52744380554104,7.29695431472082,-144,115,MDB
PA,4855,MARACANÃ,5778,5961,13482,13178,-2.25485832962469,3.16718587746625,-304,183,PL
PA,4871,MARAPANIM,5348,5642,12018,11646,-3.09535696455318,5.49738219895288,-372,294,MDB
PA,4910,MOCAJUBA,4909,5320,15487,15451,-0.23245302511784,8.37237726624567,-36,411,MDB
PA,4979,MUANÁ,4758,4999,15710,15680,-0.190961171228521,5.06515342580916,-30,241,PSC
PA,5037,OEIRAS DO PARÁ,3321,3587,14713,14518,-1.32535852647319,8.00963565191209,-195,266,PMN
PA,5053,ORIXIMINÁ,13572,14432,19850,19101,-3.77329974811084,6.33657530209255,-749,860,PRTB
PA,5096,PARAGOMINAS,29708,32193,22360,22155,-0.916815742397137,8.36475023562677,-205,2485,PSD
PA,5134,PONTA DE PEDRAS,3667,4140,12296,12129,-1.35816525699415,12.8988273793291,-167,473,PSD
PA,5150,PORTEL,7865,8354,16823,16351,-2.80568269630862,6.21741894469168,-472,489,MDB
PA,5177,PORTO DE MOZ,5361,5928,10943,9949,-9.08343233117062,10.576385002798,-994,567,PTB
PA,5193,PRAINHA,7946,8220,11278,11140,-1.2236212094343,3.44827586206897,-138,274,MDB
PA,5274,SANTA CRUZ DO ARARI,1161,1177,3200,3063,-4.28125,1.37812230835486,-137,16,MDB
PA,5339,SANTANA DO ARAGUAIA,9876,10661,6172,5979,-3.12702527543746,7.94856217091939,-193,785,MDB
PA,5371,SANTARÉM NOVO,1159,1206,3767,3631,-3.61029997345368,4.05522001725624,-136,47,PL
PA,5410,SÃO CAETANO DE ODIVELAS,2713,2879,8478,8383,-1.12054729889125,6.11868779948397,-95,166,DEM
PA,5495,SÃO JOÃO DO ARAGUAIA,3086,3268,5024,4962,-1.23407643312102,5.89760207388206,-62,182,PDT
PA,5533,SÃO SEBASTIÃO DA BOA VISTA,3944,3965,12744,12481,-2.06371625863151,0.532454361054757,-263,21,PL
PA,5550,SENADOR JOSÉ PORFÍRIO,4068,4306,4881,4734,-3.01167793484942,5.85054080629301,-147,238,PSC
PA,5576,SOURE,3498,3667,12101,11923,-1.47095281381704,4.83133218982275,-178,169,PL
PA,5614,TUCURUÍ,20907,22909,29837,29792,-0.150819452357809,9.57574018271392,-45,2002,MDB
PA,5657,VISEU,5763,6140,25546,25514,-0.125264229233535,6.54173173694257,-32,377,PL
PA,5673,REDENÇÃO,30037,32790,14587,14569,-0.123397545759918,9.16536271931285,-18,2753,PSD
PA,5690,RIO MARIA,5618,6088,4344,4303,-0.943830570902393,8.36596653613386,-41,470,MDB
PA,5797,SÃO GERALDO DO ARAGUAIA,7831,8116,6403,6252,-2.35826956114321,3.63938194355766,-151,285,PTB
PA,5916,PACAJÁ,11511,12112,8162,8039,-1.50698358245528,5.22109286769177,-123,601,PSC
PA,5932,BREJO GRANDE DO ARAGUAIA,2035,2130,2898,2811,-3.00207039337475,4.66830466830468,-87,95,PDT
PA,5959,OURILÂNDIA DO NORTE,9605,10144,6496,6435,-0.939039408866993,5.61166059344092,-61,539,AVANTE
PA,5975,DOM ELISEU,9705,10883,11863,11698,-1.39087920424851,12.1380731581659,-165,1178,PSDB
PA,5991,SANTA MARIA DAS BARREIRAS,5338,5548,3467,3373,-2.71127776175367,3.93405769951292,-94,210,MDB
PB,19038,AGUIAR,571,621,2965,2946,-0.640809443507584,8.75656742556918,-19,50,PTB
PB,19291,BAÍA DA TRAIÇÃO,892,974,4775,4760,-0.314136125654452,9.19282511210762,-15,82,DEM
PB,19321,ASSUNÇÃO,638,680,2379,2365,-0.588482555695669,6.58307210031348,-14,42,PTB
PB,19330,BARRA DE SANTA ROSA,1367,1683,6603,6568,-0.530062092988037,23.1163130943672,-35,316,DEM
PB,19364,CACIMBAS,513,578,3693,3667,-0.704034660167885,12.6705653021443,-26,65,PSDB
PB,19410,BELÉM DO BREJO DO CRUZ,1077,1147,3502,3472,-0.856653340948033,6.49953574744662,-30,70,PL
PB,19437,BOA VENTURA,587,665,3060,3024,-1.17647058823529,13.2879045996593,-36,78,REPUBLICANOS
PB,19445,SÃO JOSÉ DE PRINCESA,229,371,2131,2044,-4.08259033317692,62.0087336244541,-87,142,PP
PB,19488,MATO GROSSO,176,204,1969,1946,-1.16810563737938,15.9090909090909,-23,28,REPUBLICANOS
PB,19534,IGARACY,662,735,3172,3147,-0.788146279949553,11.0271903323263,-25,73,PTB
PB,19542,SÃO JOSÉ DO BREJO DO CRUZ,429,515,1273,1236,-2.90652003142183,20.0466200466201,-37,86,PL
PB,19682,TENÓRIO,382,394,1846,1828,-0.975081256771393,3.1413612565445,-18,12,REPUBLICANOS
PB,19771,CALDAS BRANDÃO,869,965,3136,3130,-0.191326530612246,11.0471806674338,-6,96,MDB
PB,19828,RIACHO DE SANTO ANTÔNIO,537,583,1360,1355,-0.367647058823528,8.56610800744879,-5,46,PROS
PB,19852,CATINGUEIRA,821,891,2842,2813,-1.02040816326531,8.52618757612667,-29,70,DEM
PB,19909,AREIA DE BARAÚNAS,238,247,1378,1374,-0.290275761973879,3.78151260504203,-4,9,PROS
PB,19950,CONGO,655,722,3395,3385,-0.294550810014727,10.2290076335878,-10,67,PSB
PB,20095,DESTERRO,946,1033,4426,4419,-0.158156348847716,9.19661733615222,-7,87,REPUBLICANOS
PB,20133,DIAMANTE,651,684,3144,3123,-0.667938931297707,5.06912442396312,-21,33,PODE
PB,20630,LAGOA,461,496,2933,2905,-0.954653937947492,7.59219088937093,-28,35,REPUBLICANOS
PB,20699,LASTRO,493,518,2755,2754,-0.0362976406533599,5.0709939148073,-1,25,CIDADANIA
PB,20737,LUCENA,2885,3106,6128,6063,-1.06070496083551,7.66031195840555,-65,221,SOLIDARIEDADE
PB,21393,PITIMBU,2729,2913,6382,6366,-0.250705108116578,6.74239648222792,-16,184,PDT
PB,21458,PRATA,744,812,2310,2297,-0.562770562770565,9.13978494623655,-13,68,CIDADANIA
PB,21610,SALGADINHO,449,454,1841,1826,-0.81477457903314,1.11358574610245,-15,5,PSDB
PB,21792,SÃO BENTO,8358,9122,11629,11388,-2.07240519391178,9.14094280928452,-241,764,CIDADANIA
PB,22390,UIRAÚNA,1607,1821,7562,7524,-0.502512562814073,13.3167392657125,-38,214,PP
PB,22438,VÁRZEA,300,340,1773,1765,-0.451212633953746,13.3333333333333,-8,40,DEM
PE,23167,CARNAUBEIRA DA PENHA,615,663,7994,7945,-0.612959719789841,7.8048780487805,-49,48,MDB
PE,23256,BARRA DE GUABIRABA,2618,2800,5025,4921,-2.06965174129353,6.95187165775402,-104,182,MDB
PE,23299,BELÉM DE MARIA,1671,1792,5315,5248,-1.26058325493885,7.24117295032913,-67,121,REPUBLICANOS
PE,23310,BELÉM DO SÃO FRANCISCO,1590,1774,9731,9609,-1.25372520809783,11.5723270440252,-122,184,MDB
PE,23353,BETÂNIA,721,759,6128,5988,-2.28459530026109,5.27045769764216,-140,38,REPUBLICANOS
PE,23736,CANHOTINHO,3208,3499,9041,9021,-0.221214467426167,9.07107231920199,-20,291,DEM
PE,23850,CEDRO,735,799,6160,5956,-3.31168831168831,8.70748299319728,-204,64,MDB
PE,24139,FLORESTA,2351,2519,15262,15151,-0.727296553531642,7.14589536367503,-111,168,PSB
PE,24317,IBIMIRIM,1474,1624,13032,12969,-0.483425414364636,10.1763907734057,-63,150,PC do B
PE,24392,INAJÁ,940,1021,9507,9502,-0.0525928263384823,8.61702127659574,-5,81,PSD
PE,24473,ITACURUBA,411,412,2965,2829,-4.58684654300169,0.243309002433101,-136,1,MDB
PE,24554,ITAQUITINGA,2961,3170,6934,6867,-0.9662532448803,7.05842620736237,-67,209,PSD
PE,24830,MARAIAL,1595,1639,4229,4040,-4.46914164104989,2.75862068965518,-189,44,AVANTE
PE,24953,OROCÓ,1534,1708,7378,7303,-1.01653564651667,11.3428943937419,-75,174,PT
PE,25038,PANELAS,2984,3306,11148,11117,-0.278076785073556,10.7908847184987,-31,322,PSB
